ion-alert	
ion-toggle-filled	
ion-transgender	
ion-trash-a	
ion-trash-b	
ion-trophy	
ion-tshirt	
ion-tshirt-outline	
ion-umbrella	
ion-university	
ion-unlocked	
ion-upload	
ion-usb	
ion-videocamera	
ion-volume-high	
ion-volume-low	
ion-volume-medium	
ion-volume-mute	
ion-wand	
ion-waterdrop	
ion-wifi	
ion-wineglass	
ion-woman	
ion-wrench	
ion-xbox	
